game,source,source_url,draw_number,draw_date,draw_day,main_draw_label,jackpot_amount,main_1,main_2,main_3,main_4,main_5,main_6,bonus_number,extra_number,secondary_numbers,secondary_ball_result
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3660,3660,2019-02-16,Saturday,MAIN DRAW,5000000.00,3,9,10,20,21,35,31,6013785,48295659-01;00805477-02;22596693-05;29698001-01;49019936-02;49087025-01;49135009-01;49230197-03;49259083-06;49364007-01;49423822-04;49563934-01;49714538-01;49738593-01;49800548-01;49990997-01;49995662-02;50006020-01;50047470-02;60835049-01;63099804-01;63954639-01;65744250-01;68580231-04;71571336-03;85645051-02,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3661,3661,2019-02-20,Wednesday,MAIN DRAW,7000000.00,21,22,23,30,33,43,42,5984269,45889938-02,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3662,3662,2019-02-23,Saturday,MAIN DRAW,10252605.90,5,6,10,43,46,47,27,2310549,51283949-02,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3663,3663,2019-02-27,Wednesday,MAIN DRAW,13345152.30,4,13,22,25,29,39,6,4080121,01743942-01,
Lotto 649,PlayNow BCLC official (fallback),https://www.playnow.com/services2/lotto/draw/six49/2019-03-02,3664,2019-03-02,Saturday,MAIN DRAW,,4,14,21,29,41,49,35,,36491197-06,
Lotto 649,PlayNow BCLC official (fallback),https://www.playnow.com/services2/lotto/draw/six49/2019-03-06,3665,2019-03-06,Wednesday,MAIN DRAW,,1,3,18,19,22,37,30,,55191091-01,
Lotto 649,PlayNow BCLC official (fallback),https://www.playnow.com/services2/lotto/draw/six49/2019-03-09,3666,2019-03-09,Saturday,MAIN DRAW,,22,23,26,34,42,46,3,,56004315-08,
Lotto 649,PlayNow BCLC official (fallback),https://www.playnow.com/services2/lotto/draw/six49/2019-03-13,3667,2019-03-13,Wednesday,MAIN DRAW,,4,13,18,21,26,31,33,,87282621-01,
Lotto 649,PlayNow BCLC official (fallback),https://www.playnow.com/services2/lotto/draw/six49/2019-03-16,3668,2019-03-16,Saturday,MAIN DRAW,,9,12,15,20,25,45,16,,60888710-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3669,3669,2019-03-20,Wednesday,MAIN DRAW,22000000.00,2,8,17,21,22,26,5,4400396,74604614-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3670,3670,2019-03-23,Saturday,MAIN DRAW,5000000.00,3,6,20,22,23,24,19,1186835,41198269-02,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3671,3671,2019-03-27,Wednesday,MAIN DRAW,5000000.00,16,19,22,28,34,48,49,5875974,21023077-01,
